Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
Parliamentary election,15.10.2023,21596674.0,0.22,0.0,4.68,35.38,30.7,14.4,,,8.61,7.16,1.86,1.63,,,,,,,,,,,,,,,,,,,,,,,,
OGB,15.10.2023,,0.2,0.0,2.1,33.5,31.4,13.9,,,9.8,7.7,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,15.10.2023,90000.0,0.2,0.0,5.2,36.8,31.6,13.0,,,8.6,6.2,2.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,13.10.2023,1500.0,0.6,8.1,4.5,32.0,27.5,11.2,,,7.9,8.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,13.10.2023,1100.0,0.2,0.0,9.59,37.36,27.77,13.02,,,10.33,8.29,2.19,1.04,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,12.10.2023,1100.0,1.1,0.0,2.6,33.2,30.6,11.9,,,11.6,8.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,12.10.2023,,0.51,0.0,4.43,35.81,31.38,10.71,,,10.48,8.72,1.49,0.9,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,12.10.2023,1243.0,0.5,7.5,6.9,33.9,27.0,11.0,,,9.7,8.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,12.10.2023,1702.0,1.0,8.0,5.0,31.0,26.0,12.0,,,11.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,11.10.2023,1095.0,1.2,0.0,6.8,36.7,29.9,10.1,,,9.7,9.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,11.10.2023,1000.0,,6.6,6.8,34.9,28.1,10.3,,,10.0,8.3,1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,11.10.2023,1110.0,,17.0,13.0,35.0,22.0,6.0,,,5.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,10.10.2023,1100.0,0.4,7.0,5.5,33.5,28.0,10.9,,,10.1,9.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.10.2023,1094.0,1.0,7.0,8.0,34.0,26.0,11.0,,,9.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,10.10.2023,1000.0,,7.8,5.7,33.8,28.1,9.4,,,10.2,8.4,1.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,10.10.2023,1000.0,1.0,9.0,8.0,36.0,28.0,8.0,,,8.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,09.10.2023,1084.0,0.9,9.1,8.6,35.1,26.5,8.3,,,8.7,8.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
IPC,08.10.2023,1067.0,,6.1,2.7,32.2,29.5,9.7,,,8.9,8.1,5.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
ewybory.eu,08.10.2023,10007.0,0.53,0.0,2.6,33.45,30.85,11.03,,,12.88,8.5,1.91,0.85,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,07.10.2023,1022.0,2.7,0.0,4.34,34.34,30.0,11.76,,,8.23,10.51,1.57,0.89,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,07.10.2023,1000.0,0.1,8.1,6.7,34.6,27.9,7.6,,,11.4,7.7,1.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,06.10.2023,1060.0,1.2,0.0,6.4,36.9,30.5,9.4,,,9.3,9.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,04.10.2023,1000.0,,22.0,5.0,30.0,25.0,6.0,,,9.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,04.10.2023,1000.0,,0.0,1.8,32.9,31.1,13.2,,,11.3,6.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,04.10.2023,1000.0,,4.8,5.1,34.0,28.9,10.6,,,10.0,9.7,1.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,04.10.2023,1042.0,0.9,0.0,0.6,32.9,32.3,11.6,,,10.1,8.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,04.10.2023,1500.0,2.0,5.0,4.0,34.0,30.0,9.0,,,10.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,02.10.2023,1000.0,,5.1,3.8,32.0,28.2,11.0,,,10.2,10.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,02.10.2023,1073.0,2.0,0.0,9.0,39.0,30.0,8.0,,,9.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,01.10.2023,1000.0,,8.5,5.9,32.3,26.4,12.1,,,8.1,9.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,30.09.2023,1051.0,0.5,0.0,6.8,37.4,30.6,9.6,,,8.7,9.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,27.09.2023,1000.0,,5.6,8.1,35.1,27.0,10.4,,,10.1,9.5,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.09.2023,1052.0,1.0,0.0,9.0,39.0,30.0,9.0,,,9.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.09.2023,1052.0,1.0,0.0,10.0,39.0,29.0,,3.0,7.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,25.09.2023,1000.0,0.0,9.0,7.0,36.0,29.0,8.0,,,10.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,24.09.2023,1000.0,,7.9,5.7,33.8,28.1,9.0,,,8.7,8.8,3.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,23.09.2023,1054.0,0.2,0.0,7.5,37.3,29.8,9.9,,,8.5,10.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,22.09.2023,1015.0,1.75,0.0,6.32,36.76,30.44,9.81,,,9.72,8.67,1.27,1.58,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.09.2023,1000.0,,9.0,9.0,35.1,26.1,9.2,,,9.1,9.9,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.09.2023,1000.0,,8.7,4.6,31.6,27.0,10.1,,,9.8,9.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,18.09.2023,1065.0,1.7,7.6,9.3,35.4,26.1,10.1,,,8.0,9.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.09.2023,1046.0,2.0,0.0,9.0,39.0,30.0,8.0,,,10.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,17.09.2023,1000.0,,7.2,6.5,32.8,26.3,10.6,,,10.2,9.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,17.09.2023,1000.0,,9.2,6.0,32.6,26.6,10.6,,,9.9,9.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,16.09.2023,1069.0,0.6,0.0,7.2,36.6,29.4,9.4,,,9.0,11.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,14.09.2023,1073.0,,23.0,18.0,36.0,18.0,4.0,,,5.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,13.09.2023,1000.0,,7.9,6.9,33.3,26.4,10.2,,,11.1,10.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.09.2023,1000.0,,6.0,5.5,33.5,28.0,9.2,,,8.9,11.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.09.2023,1038.0,1.0,0.0,7.0,39.0,32.0,9.0,,,7.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.09.2023,1038.0,1.0,0.0,7.0,40.0,33.0,,4.0,5.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,11.09.2023,1000.0,1.0,14.0,9.0,35.0,26.0,6.0,,,8.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,11.09.2023,1000.0,0.2,0.0,8.07,38.58,30.51,8.67,,,8.48,11.57,1.99,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,09.09.2023,1100.0,,9.0,7.2,33.2,26.0,10.3,,,10.1,9.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,09.09.2023,1075.0,0.3,0.0,8.5,37.6,29.1,9.8,,,8.9,11.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,06.09.2023,655.0,,15.7,7.4,33.4,26.0,6.4,,,7.6,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,06.09.2023,732.0,2.0,7.0,6.0,37.0,31.0,8.0,,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,05.09.2023,1030.0,,0.8,2.9,34.7,31.8,8.5,,,10.0,12.1,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
Social Changes,04.09.2023,1049.0,,1.0,9.0,39.0,30.0,,,5.0,7.0,13.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Social Changes,04.09.2023,1049.0,,1.0,7.0,38.0,31.0,10.0,,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,04.09.2023,1064.0,,7.0,8.5,36.2,27.7,10.5,,,8.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,03.09.2023,1000.0,,7.0,7.8,35.3,27.5,10.2,,,9.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,31.08.2023,1000.0,,9.1,6.4,33.1,26.7,10.1,,,9.6,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mands,31.08.2023,750.0,,0.0,6.0,38.1,32.1,7.3,,,11.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.08.2023,1040.0,,2.0,9.0,40.0,31.0,,3.0,4.0,7.0,11.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.08.2023,1040.0,,1.0,8.0,40.0,32.0,6.0,,,8.0,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
CBOS,27.08.2023,1024.0,,24.0,16.0,37.0,21.0,5.0,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,26.08.2023,1100.0,,7.7,6.2,33.4,27.2,10.0,,,9.3,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,25.08.2023,1022.0,,2.1,5.7,35.9,30.2,10.4,,,8.7,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,24.08.2023,1038.0,,3.16,5.24,35.59,30.35,10.71,,,8.89,10.4,,,,,,0.9,,,,,,,,,,,,,,,,,,,,
Kantar Public,23.08.2023,983.0,,12.0,8.0,38.0,30.0,6.0,,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.08.2023,1062.0,,2.0,10.0,39.0,29.0,8.0,,,8.0,12.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.08.2023,1062.0,,1.0,10.0,39.0,29.0,,4.0,5.0,7.0,13.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,21.08.2023,,,8.5,1.8,32.4,30.6,9.0,,,7.7,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,20.08.2023,1000.0,,10.4,3.3,34.5,31.2,9.0,,,7.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.08.2023,1052.0,,1.0,8.0,38.0,30.0,9.0,,,9.0,11.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.08.2023,1052.0,,1.0,10.0,39.0,29.0,,5.0,6.0,9.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,14.08.2023,1055.0,,7.6,6.3,33.8,27.5,10.6,,,7.7,10.9,,,1.0,0.6,0.3,,,,,,,,,,,,,,,,,,,,,
Estymator,11.08.2023,1017.0,,2.4,5.7,34.3,28.6,10.8,,,9.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,07.08.2023,1073.0,,1.0,9.0,37.0,28.0,,3.0,5.0,10.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.07.2023,1074.0,,2.0,10.0,38.0,28.0,,3.0,5.0,8.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.07.2023,1074.0,,2.0,8.0,38.0,30.0,6.0,,,9.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,31.07.2023,1092.0,,6.7,6.8,34.7,27.9,9.3,,,8.8,10.9,,,1.0,0.3,0.2,,,,,,,,,,,,,,,,,,,,,
United Surveys,30.07.2023,1000.0,,5.8,4.8,32.9,28.1,10.6,,,8.8,13.2,,,,0.6,,,,,,,,,,,,,,,,,,,,,,
IBRiS,29.07.2023,1100.0,,4.2,7.2,33.4,26.2,10.8,,,10.7,12.7,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Social Changes,24.07.2023,1046.0,,2.0,5.0,34.0,29.0,,5.0,5.0,9.0,14.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
